CSV file created successfully!
nt,Path
auth,AUTH,Entity,auth-provider.entity.ts,,modules/auth/entities/auth-provider.entity.ts
auth,AUTH,Entity,email-verification-token.entity.ts,,modules/auth/entities/email-verification-token.entity.ts
auth,AUTH,Entity,membership.entity.ts,,modules/auth/entities/membership.entity.ts
auth,AUTH,Entity,password-reset-token.entity.ts,,modules/auth/entities/password-reset-token.entity.ts
auth,AUTH,Entity,profile.entity.ts,,modules/auth/entities/profile.entity.ts
auth,AUTH,Entity,tenant.entity.ts,,modules/auth/entities/tenant.entity.ts
auth,AUTH,Entity,user-role.entity.ts,,modules/auth/entities/user-role.entity.ts
auth,AUTH,Entity,user-session.entity.ts,,modules/auth/entities/user-session.entity.ts
auth,AUTH,Entity,user.entity.ts,,modules/auth/entities/user.entity.ts
auth,AUTH,DTO,assign-role.dto.ts,,modules/auth/dto/assign-role.dto.ts
auth,AUTH,DTO,auth-attempt-response.dto.ts,,modules/auth/dto/auth-attempt-response.dto.ts
auth,AUTH,DTO,auth-provider-response.dto.ts,,modules/auth/dto/auth-provider-response.dto.ts
auth,AUTH,DTO,create-auth-attempt.dto.ts,,modules/auth/dto/create-auth-attempt.dto.ts
auth,AUTH,DTO,create-auth-provider.dto.ts,,modules/auth/dto/create-auth-provider.dto.ts
auth,AUTH,DTO,create-email-verification-token.dto.ts,,modules/auth/dto/create-email-verification-token.dto.ts
auth,AUTH,DTO,create-membership.dto.ts,,modules/auth/dto/create-membership.dto.ts
auth,AUTH,DTO,create-password-reset-token.dto.ts,,modules/auth/dto/create-password-reset-token.dto.ts
auth,AUTH,DTO,create-profile.dto.ts,,modules/auth/dto/create-profile.dto.ts
auth,AUTH,DTO,create-tenant.dto.ts,,modules/auth/dto/create-tenant.dto.ts
auth,AUTH,DTO,create-user-session.dto.ts,,modules/auth/dto/create-user-session.dto.ts
auth,AUTH,DTO,create-user.dto.ts,,modules/auth/dto/create-user.dto.ts
auth,AUTH,DTO,email-verification-token-response.dto.ts,,modules/auth/dto/email-verification-token-response.dto.ts
auth,AUTH,DTO,login.dto.ts,,modules/auth/dto/login.dto.ts
auth,AUTH,DTO,membership-response.dto.ts,,modules/auth/dto/membership-response.dto.ts
auth,AUTH,DTO,password-reset-token-response.dto.ts,,modules/auth/dto/password-reset-token-response.dto.ts
auth,AUTH,DTO,profile-response.dto.ts,,modules/auth/dto/profile-response.dto.ts
auth,AUTH,DTO,refresh-token.dto.ts,,modules/auth/dto/refresh-token.dto.ts
auth,AUTH,DTO,register-user.dto.ts,,modules/auth/dto/register-user.dto.ts
auth,AUTH,DTO,request-password-reset.dto.ts,,modules/auth/dto/request-password-reset.dto.ts
auth,AUTH,DTO,reset-password.dto.ts,,modules/auth/dto/reset-password.dto.ts
auth,AUTH,DTO,tenant-response.dto.ts,,modules/auth/dto/tenant-response.dto.ts
auth,AUTH,DTO,update-membership.dto.ts,,modules/auth/dto/update-membership.dto.ts
auth,AUTH,DTO,update-profile.dto.ts,,modules/auth/dto/update-profile.dto.ts
auth,AUTH,DTO,update-tenant.dto.ts,,modules/auth/dto/update-tenant.dto.ts
auth,AUTH,DTO,update-user-session.dto.ts,,modules/auth/dto/update-user-session.dto.ts
auth,AUTH,DTO,update-user.dto.ts,,modules/auth/dto/update-user.dto.ts
auth,AUTH,DTO,user-response.dto.ts,,modules/auth/dto/user-response.dto.ts
auth,AUTH,DTO,user-role-response.dto.ts,,modules/auth/dto/user-role-response.dto.ts
auth,AUTH,DTO,user-session-response.dto.ts,,modules/auth/dto/user-session-response.dto.ts
auth,AUTH,DTO,verify-email.dto.ts,,modules/auth/dto/verify-email.dto.ts
content,CNT,Summary,content,"C:3, S:3, E:3, D:6",modules/content
content,CNT,Controller,content-templates.controller.ts,,modules/content/controllers/content-templates.controller.ts
content,CNT,Controller,marie-curie-content.controller.ts,,modules/content/controllers/marie-curie-content.controller.ts
content,CNT,Controller,media-files.controller.ts,,modules/content/controllers/media-files.controller.ts
content,CNT,Service,content-templates.service.ts,,modules/content/services/content-templates.service.ts
content,CNT,Service,marie-curie-content.service.ts,,modules/content/services/marie-curie-content.service.ts
content,CNT,Service,media-files.service.ts,,modules/content/services/media-files.service.ts
content,CNT,Entity,content-template.entity.ts,,modules/content/entities/content-template.entity.ts
content,CNT,Entity,marie-curie-content.entity.ts,,modules/content/entities/marie-curie-content.entity.ts
content,CNT,Entity,media-file.entity.ts,,modules/content/entities/media-file.entity.ts
content,CNT,DTO,content-template-response.dto.ts,,modules/content/dto/content-template-response.dto.ts
content,CNT,DTO,create-content-template.dto.ts,,modules/content/dto/create-content-template.dto.ts
content,CNT,DTO,create-marie-curie-content.dto.ts,,modules/content/dto/create-marie-curie-content.dto.ts
content,CNT,DTO,create-media-file.dto.ts,,modules/content/dto/create-media-file.dto.ts
content,CNT,DTO,marie-curie-content-response.dto.ts,,modules/content/dto/marie-curie-content-response.dto.ts
content,CNT,DTO,media-file-response.dto.ts,,modules/content/dto/media-file-response.dto.ts
core,ADM,Summary,core,"C:0, S:0, E:0, D:0",modules/core
educational,EDU,Summary,educational,"C:3, S:3, E:4, D:8",modules/educational
educational,EDU,Controller,exercises.controller.ts,,modules/educational/controllers/exercises.controller.ts
educational,EDU,Controller,media.controller.ts,,modules/educational/controllers/media.controller.ts
educational,EDU,Controller,modules.controller.ts,,modules/educational/controllers/modules.controller.ts
educational,EDU,Service,exercises.service.ts,,modules/educational/services/exercises.service.ts
educational,EDU,Service,media.service.ts,,modules/educational/services/media.service.ts
educational,EDU,Service,modules.service.ts,,modules/educational/services/modules.service.ts
educational,EDU,Entity,assessment-rubric.entity.ts,,modules/educational/entities/assessment-rubric.entity.ts
educational,EDU,Entity,exercise.entity.ts,,modules/educational/entities/exercise.entity.ts
educational,EDU,Entity,media-resource.entity.ts,,modules/educational/entities/media-resource.entity.ts
educational,EDU,Entity,module.entity.ts,,modules/educational/entities/module.entity.ts
educational,EDU,DTO,create-exercise.dto.ts,,modules/educational/dto/exercises/create-exercise.dto.ts
educational,EDU,DTO,exercise-response.dto.ts,,modules/educational/dto/exercises/exercise-response.dto.ts
educational,EDU,DTO,media-response.dto.ts,,modules/educational/dto/media/media-response.dto.ts
educational,EDU,DTO,upload-media.dto.ts,,modules/educational/dto/media/upload-media.dto.ts
educational,EDU,DTO,create-module.dto.ts,,modules/educational/dto/modules/create-module.dto.ts
educational,EDU,DTO,module-response.dto.ts,,modules/educational/dto/modules/module-response.dto.ts
educational,EDU,DTO,create-rubric.dto.ts,,modules/educational/dto/rubrics/create-rubric.dto.ts
educational,EDU,DTO,rubric-response.dto.ts,,modules/educational/dto/rubrics/rubric-response.dto.ts
gamification,GAM,Summary,gamification,"C:5, S:5, E:11, D:23",modules/gamification
gamification,GAM,Controller,achievements.controller.ts,,modules/gamification/controllers/achievements.controller.ts
gamification,GAM,Controller,leaderboard.controller.ts,,modules/gamification/controllers/leaderboard.controller.ts
gamification,GAM,Controller,ml-coins.controller.ts,,modules/gamification/controllers/ml-coins.controller.ts
gamification,GAM,Controller,ranks.controller.ts,,modules/gamification/controllers/ranks.controller.ts
gamification,GAM,Controller,user-stats.controller.ts,,modules/gamification/controllers/user-stats.controller.ts
gamification,GAM,Service,achievements.service.ts,,modules/gamification/services/achievements.service.ts
gamification,GAM,Service,leaderboard.service.ts,,modules/gamification/services/leaderboard.service.ts
gamification,GAM,Service,ml-coins.service.ts,,modules/gamification/services/ml-coins.service.ts
gamification,GAM,Service,ranks.service.ts,,modules/gamification/services/ranks.service.ts
gamification,GAM,Service,user-stats.service.ts,,modules/gamification/services/user-stats.service.ts
gamification,GAM,Entity,achievement-category.entity.ts,,modules/gamification/entities/achievement-category.entity.ts
gamification,GAM,Entity,achievement.entity.ts,,modules/gamification/entities/achievement.entity.ts
gamification,GAM,Entity,active-boost.entity.ts,,modules/gamification/entities/active-boost.entity.ts
gamification,GAM,Entity,comodines-inventory.entity.ts,,modules/gamification/entities/comodines-inventory.entity.ts
gamification,GAM,Entity,inventory-transaction.entity.ts,,modules/gamification/entities/inventory-transaction.entity.ts
gamification,GAM,Entity,leaderboard-metadata.entity.ts,,modules/gamification/entities/leaderboard-metadata.entity.ts
gamification,GAM,Entity,mission.entity.ts,,modules/gamification/entities/mission.entity.ts
gamification,GAM,Entity,ml-coins-transaction.entity.ts,,modules/gamification/entities/ml-coins-transaction.entity.ts
gamification,GAM,Entity,user-achievement.entity.ts,,modules/gamification/entities/user-achievement.entity.ts
gamification,GAM,Entity,user-rank.entity.ts,,modules/gamification/entities/user-rank.entity.ts
gamification,GAM,Entity,user-stats.entity.ts,,modules/gamification/entities/user-stats.entity.ts
gamification,GAM,DTO,achievement-response.dto.ts,,modules/gamification/dto/achievements/achievement-response.dto.ts
gamification,GAM,DTO,create-achievement.dto.ts,,modules/gamification/dto/achievements/create-achievement.dto.ts
gamification,GAM,DTO,update-achievement.dto.ts,,modules/gamification/dto/achievements/update-achievement.dto.ts
gamification,GAM,DTO,inventory-response.dto.ts,,modules/gamification/dto/comodines/inventory-response.dto.ts
gamification,GAM,DTO,purchase-comodin.dto.ts,,modules/gamification/dto/comodines/purchase-comodin.dto.ts
gamification,GAM,DTO,use-comodin.dto.ts,,modules/gamification/dto/comodines/use-comodin.dto.ts
gamification,GAM,DTO,leaderboard-entry.dto.ts,,modules/gamification/dto/leaderboard/leaderboard-entry.dto.ts
gamification,GAM,DTO,create-mission.dto.ts,,modules/gamification/dto/missions/create-mission.dto.ts
