Documento,Tipo Referencia,Ruta,Existe,Fase
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,archivo,apps/database/ddl/schemas/gamilit/functions/14-update_user_stats_on_exercise_complete.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/01-cleanup_old_system_logs.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/02-cleanup_old_user_activity.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/03-is_feature_enabled.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/06-update_feature_flag.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/04-log_system_event.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/05-send_notification.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/07-validate_date_range.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/backend/src/modules/feature-flags/feature-flags.service.ts,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/backend/src/modules/admin/feature-flags.controller.ts,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/backend/src/common/logging/system-logger.service.ts,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/backend/src/modules/notifications/notifications.service.ts,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/backend/src/common/validators/date-range.validator.ts,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/01-cleanup_old_system_logs.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/02-cleanup_old_user_activity.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/03-is_feature_enabled.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/04-log_system_event.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/05-send_notification.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/06-update_feature_flag.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/07-validate_date_range.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/01-cleanup_old_system_logs.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/02-cleanup_old_user_activity.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/03-is_feature_enabled.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/06-update_feature_flag.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/04-log_system_event.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/05-send_notification.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/07-validate_date_range.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/01-cleanup_old_system_logs.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/02-cleanup_old_user_activity.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/03-is_feature_enabled.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/04-log_system_event.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/05-send_notification.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/06-update_feature_flag.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,archivo,apps/database/ddl/schemas/public/functions/07-validate_date_range.sql,SI,90-transversal
90-transversal/STORAGE-SYSTEM.md,archivo,apps/database/ddl/schemas/storage/enums/buckettype.sql,SI,90-transversal
90-transversal/STORAGE-SYSTEM.md,archivo,apps/backend/src/modules/storage/storage.service.ts,NO,90-transversal
90-transversal/STORAGE-SYSTEM.md,archivo,apps/database/ddl/schemas/storage/enums/buckettype.sql,SI,90-transversal
90-transversal/STORAGE-SYSTEM.md,archivo,apps/database/ddl/schemas/storage/enums/buckettype.sql,SI,90-transversal
90-transversal/STORAGE-SYSTEM.md,archivo,apps/database/ddl/schemas/storage/enums/buckettype.sql,SI,90-transversal
01-fase-alcance-inicial/EAI-006-configuracion-sistema/requerimientos/RF-SYS-002-feature-flags.md,archivo,apps/database/ddl/schemas/system_configuration/tables/02-feature_flags.sql,SI,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-006-configuracion-sistema/requerimientos/RF-SYS-001-settings.md,archivo,apps/database/ddl/schemas/system_configuration/tables/01-system_settings.sql,SI,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/database/ddl/00-prerequisites.sql,SI,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/database/ddl/00-prerequisites.sql,SI,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/database/ddl/schemas/auth_management/tables/03-profiles.sql,SI,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/backend/src/shared/enums/gamilit-role.enum.ts,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/database/ddl/00-prerequisites.sql,SI,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/backend/src/shared/guards/roles.guard.ts,SI,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/backend/src/shared/decorators/roles.decorator.ts,SI,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/backend/src/modules/admin/admin.controller.ts,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/frontend/src/types/auth.types.ts,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/frontend/src/components/auth/RoleBasedRoute.ts,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/frontend/src/App.ts,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/database/ddl/schemas/progress_tracking/tables/01-module_progress.sql,SI,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/backend/src/shared/guards/roles.guard.spec.ts,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/backend/test/auth/roles.e2e-spec.ts,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/database/ddl/schemas/auth_management/tables/03-profiles.sql,SI,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/backend/src/shared/enums/gamilit-role.enum.ts,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,archivo,apps/backend/src/shared/guards/roles.guard.ts,SI,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-003-oauth.md,archivo,apps/database/ddl/00-prerequisites.sql,SI,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-003-oauth.md,archivo,apps/database/ddl/schemas/auth_management/tables/05-auth_providers.sql,SI,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-003-oauth.md,archivo,apps/database/ddl/schemas/auth_management/tables/06-linked_providers.sql,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-003-oauth.md,archivo,apps/backend/src/config/oauth.config.ts,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-003-oauth.md,archivo,apps/backend/src/modules/auth/strategies/google.strategy.ts,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-003-oauth.md,archivo,apps/backend/src/modules/auth/controllers/oauth.controller.ts,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-003-oauth.md,archivo,apps/backend/src/config/oauth.config.ts,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-003-oauth.md,archivo,apps/backend/src/modules/auth/strategies/apple.strategy.ts,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-003-oauth.md,archivo,apps/backend/src/modules/auth/strategies/microsoft.strategy.ts,NO,01-fase-alcance-inicial
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-003-oauth.md,archivo,apps/backend/src/modules/auth/services/oauth-state.service.ts,NO,01-fase-alcance-inicial
