Documento,Fase,Total Refs Código,Total Refs Tablas,Total Refs Entidades,Total Inválidas,Tasa Validez (%)
03-fase-extensiones/EXT-004-perfiles/_MAP.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-004-interacciones-sociales.md,03-fase-extensiones,0,0,5,0,0.0
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-006-showcasing-logros.md,03-fase-extensiones,0,0,5,0,0.0
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-003-accesibilidad-gamificacion.md,03-fase-extensiones,0,1,4,0,0.0
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-001-personalizacion-perfil.md,03-fase-extensiones,0,1,4,0,0.0
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-002-seguridad-cuenta.md,03-fase-extensiones,0,1,4,0,0.0
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-005-personalizacion-dashboard.md,03-fase-extensiones,0,0,5,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/README.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,03-fase-extensiones,0,16,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,03-fase-extensiones,0,16,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-003a-grading-queue.md,03-fase-extensiones,0,5,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-003b-grading-interface.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-001b-student-enrollment.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-005c-engagement-metrics.md,03-fase-extensiones,0,3,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-004b-teacher-notes.md,03-fase-extensiones,0,2,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-005b-report-generation.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-004a-progress-analytics.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-002b-assignment-distribution.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-005a-classroom-analytics.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-002c-submissions-view.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-002a-assignment-crud.md,03-fase-extensiones,0,2,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-001a-classroom-crud.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-008-white-label/README.md,03-fase-extensiones,0,2,0,0,0.0
03-fase-extensiones/EXT-008-white-label/_MAP.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-008-white-label/historias-usuario/US-WL-002-logo-colors.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-008-white-label/historias-usuario/US-WL-003-platform-name.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-008-white-label/historias-usuario/US-WL-001-branding-config.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-002-admin-extendido/README.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-002-admin-extendido/_MAP.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-002-admin-extendido/historias-usuario/US-AE-001-user-management.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-002-admin-extendido/historias-usuario/US-AE-004-system-monitoring.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-002-admin-extendido/historias-usuario/US-AE-003-content-management.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-002-admin-extendido/historias-usuario/US-AE-002-organizations.md,03-fase-extensiones,0,0,0,0,0.0
02-fase-robustecimiento/README.md,02-fase-robustecimiento,0,0,0,0,0.0
02-fase-robustecimiento/_MAP.md,02-fase-robustecimiento,0,1,0,0,0.0
02-fase-robustecimiento/EMR-001-migracion-bd/README.md,02-fase-robustecimiento,0,1,0,0,0.0
02-fase-robustecimiento/EMR-001-migracion-bd/_MAP.md,02-fase-robustecimiento,0,6,0,0,0.0
02-fase-robustecimiento/EMR-001-migracion-bd/tareas/01-migraciones/MIGRACIONES-HISTORICO.md,02-fase-robustecimiento,0,14,0,0,0.0
02-fase-robustecimiento/EMR-001-migracion-bd/tareas/03-documentacion/ESQUEMA-44-TABLAS.md,02-fase-robustecimiento,0,15,0,0,0.0
02-fase-robustecimiento/EMR-001-migracion-bd/tareas/03-documentacion/INDICES-PARTE-2.md,02-fase-robustecimiento,0,3,0,0,0.0
02-fase-robustecimiento/EMR-001-migracion-bd/tareas/03-documentacion/INDICES-PARTE-1.md,02-fase-robustecimiento,0,0,0,0,0.0
02-fase-robustecimiento/EMR-001-migracion-bd/tareas/02-scripts/DATOS-SEED.md,02-fase-robustecimiento,0,5,0,0,0.0
02-fase-robustecimiento/EMR-001-migracion-bd/tareas/02-scripts/SCRIPTS-INSTALACION.md,02-fase-robustecimiento,0,8,0,0,0.0
01-fase-alcance-inicial/README.md,01-fase-alcance-inicial,0,0,0,0,0.0
01-fase-alcance-inicial/_MAP.md,01-fase-alcance-inicial,0,0,0,0,0.0
01-fase-alcance-inicial/EAI-006-configuracion-sistema/_MAP.md,01-fase-alcance-inicial,0,0,0,0,0.0
01-fase-alcance-inicial/EAI-006-configuracion-sistema/requerimientos/RF-SYS-003-notifications.md,01-fase-alcance-inicial,0,1,0,0,0.0
01-fase-alcance-inicial/EAI-006-configuracion-sistema/requerimientos/RF-SYS-002-feature-flags.md,01-fase-alcance-inicial,1,1,0,0,100.0
01-fase-alcance-inicial/EAI-006-configuracion-sistema/requerimientos/RF-SYS-001-settings.md,01-fase-alcance-inicial,1,1,0,0,100.0
01-fase-alcance-inicial/EAI-001-fundamentos/README.md,01-fase-alcance-inicial,0,1,0,0,0.0
01-fase-alcance-inicial/EAI-001-fundamentos/_MAP.md,01-fase-alcance-inicial,0,0,0,0,0.0
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-001-rbac.md,01-fase-alcance-inicial,17,21,4,8,52.9
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-003-oauth.md,01-fase-alcance-inicial,12,22,3,10,16.7
01-fase-alcance-inicial/EAI-001-fundamentos/especificaciones/ET-AUTH-002-estados-cuenta.md,01-fase-alcance-inicial,11,19,2,8,27.3
01-fase-alcance-inicial/EAI-001-fundamentos/requerimientos/RF-AUTH-003-oauth.md,01-fase-alcance-inicial,33,10,0,28,15.2
01-fase-alcance-inicial/EAI-001-fundamentos/requerimientos/RF-AUTH-002-estados-cuenta.md,01-fase-alcance-inicial,18,12,1,16,11.1
01-fase-alcance-inicial/EAI-001-fundamentos/requerimientos/RF-AUTH-001-roles.md,01-fase-alcance-inicial,18,12,0,11,38.9
01-fase-alcance-inicial/EAI-001-fundamentos/historias-usuario/US-FUND-004-infraestructura-tecnica-base.md,01-fase-alcance-inicial,0,2,0,0,0.0
01-fase-alcance-inicial/EAI-001-fundamentos/historias-usuario/US-FUND-006-api-restful-basica.md,01-fase-alcance-inicial,0,25,4,0,0.0
01-fase-alcance-inicial/EAI-001-fundamentos/historias-usuario/US-FUND-008-ui-ux-base.md,01-fase-alcance-inicial,0,0,6,0,0.0
01-fase-alcance-inicial/EAI-001-fundamentos/historias-usuario/US-FUND-007-navegacion-routing.md,01-fase-alcance-inicial,0,5,0,0,0.0
01-fase-alcance-inicial/EAI-001-fundamentos/historias-usuario/US-FUND-003-dashboard-principal-estudiante.md,01-fase-alcance-inicial,0,0,1,0,0.0
01-fase-alcance-inicial/EAI-001-fundamentos/historias-usuario/US-FUND-005-sistema-sesiones-estado.md,01-fase-alcance-inicial,0,19,1,0,0.0
01-fase-alcance-inicial/EAI-001-fundamentos/historias-usuario/US-FUND-001-autenticacion-basica-jwt.md,01-fase-alcance-inicial,0,4,1,0,0.0
01-fase-alcance-inicial/EAI-001-fundamentos/historias-usuario/US-FUND-002-perfiles-usuario-basicos.md,01-fase-alcance-inicial,0,0,1,0,0.0
01-fase-alcance-inicial/EAI-005-admin-base/README.md,01-fase-alcance-inicial,0,1,0,0,0.0
01-fase-alcance-inicial/EAI-005-admin-base/_MAP.md,01-fase-alcance-inicial,0,0,0,0,0.0
01-fase-alcance-inicial/EAI-005-admin-base/historias-usuario/US-ADM-003-dashboard-maestro.md,01-fase-alcance-inicial,0,6,0,0,0.0
01-fase-alcance-inicial/EAI-005-admin-base/historias-usuario/US-ADM-001-gestion-aulas-crud.md,01-fase-alcance-inicial,0,17,0,0,0.0
01-fase-alcance-inicial/EAI-005-admin-base/historias-usuario/US-ADM-004-asignacion-modulos.md,01-fase-alcance-inicial,0,22,0,0,0.0
01-fase-alcance-inicial/EAI-005-admin-base/historias-usuario/US-ADM-005-gestion-grupos.md,01-fase-alcance-inicial,0,27,0,0,0.0
01-fase-alcance-inicial/EAI-005-admin-base/historias-usuario/US-ADM-006-configuracion-basica-aula.md,01-fase-alcance-inicial,0,9,0,0,0.0
01-fase-alcance-inicial/EAI-005-admin-base/historias-usuario/US-ADM-007-vista-actividad-aula.md,01-fase-alcance-inicial,0,14,0,0,0.0
01-fase-alcance-inicial/EAI-005-admin-base/historias-usuario/US-ADM-002-gestion-estudiantes-aula.md,01-fase-alcance-inicial,0,31,0,0,0.0
01-fase-alcance-inicial/EAI-003-gamificacion/README.md,01-fase-alcance-inicial,0,1,0,0,0.0
01-fase-alcance-inicial/EAI-003-gamificacion/_MAP.md,01-fase-alcance-inicial,0,0,0,0,0.0
01-fase-alcance-inicial/EAI-003-gamificacion/especificaciones/ET-GAM-001-achievements.md,01-fase-alcance-inicial,42,48,9,38,9.5
01-fase-alcance-inicial/EAI-003-gamificacion/especificaciones/ET-GAM-003-rangos-maya.md,01-fase-alcance-inicial,24,40,6,21,12.5
01-fase-alcance-inicial/EAI-003-gamificacion/especificaciones/ET-GAM-002-comodines.md,01-fase-alcance-inicial,28,27,2,26,7.1
01-fase-alcance-inicial/EAI-003-gamificacion/requerimientos/RF-GAM-003-rangos-maya.md,01-fase-alcance-inicial,14,15,0,12,14.3
01-fase-alcance-inicial/EAI-003-gamificacion/requerimientos/RF-GAM-001-achievements.md,01-fase-alcance-inicial,26,16,1,24,7.7
01-fase-alcance-inicial/EAI-003-gamificacion/requerimientos/RF-GAM-002-comodines.md,01-fase-alcance-inicial,13,21,0,12,7.7
01-fase-alcance-inicial/EAI-003-gamificacion/historias-usuario/US-GAM-006-narrativa-basica.md,01-fase-alcance-inicial,0,8,0,0,0.0
01-fase-alcance-inicial/EAI-003-gamificacion/historias-usuario/US-GAM-008-recompensas-modulos.md,01-fase-alcance-inicial,0,12,0,0,0.0
01-fase-alcance-inicial/EAI-003-gamificacion/historias-usuario/US-GAM-003-monedas-lectoras.md,01-fase-alcance-inicial,0,5,0,0,0.0
01-fase-alcance-inicial/EAI-003-gamificacion/historias-usuario/US-GAM-005-insignias-basicas.md,01-fase-alcance-inicial,0,17,1,0,0.0
01-fase-alcance-inicial/EAI-003-gamificacion/historias-usuario/US-GAM-004-sistema-ayudas.md,01-fase-alcance-inicial,0,15,1,0,0.0
01-fase-alcance-inicial/EAI-003-gamificacion/historias-usuario/US-GAM-007-leaderboard-simple.md,01-fase-alcance-inicial,0,8,1,0,0.0
01-fase-alcance-inicial/EAI-003-gamificacion/historias-usuario/US-GAM-001-sistema-rangos-maya.md,01-fase-alcance-inicial,0,10,0,0,0.0
01-fase-alcance-inicial/EAI-003-gamificacion/historias-usuario/US-GAM-002-sistema-experiencia-xp.md,01-fase-alcance-inicial,0,5,0,0,0.0
01-fase-alcance-inicial/EAI-002-actividades/README.md,01-fase-alcance-inicial,0,1,0,0,0.0
01-fase-alcance-inicial/EAI-002-actividades/_MAP.md,01-fase-alcance-inicial,0,0,0,0,0.0
01-fase-alcance-inicial/EAI-002-actividades/especificaciones/ET-EDU-002-niveles-dificultad.md,01-fase-alcance-inicial,31,52,2,31,0.0
01-fase-alcance-inicial/EAI-002-actividades/especificaciones/ET-EDU-001-mecanicas-ejercicios.md,01-fase-alcance-inicial,20,30,10,18,10.0
01-fase-alcance-inicial/EAI-002-actividades/especificaciones/ET-EDU-003-taxonomia-bloom.md,01-fase-alcance-inicial,32,48,4,32,0.0
01-fase-alcance-inicial/EAI-002-actividades/requerimientos/RF-EDU-002-niveles-dificultad.md,01-fase-alcance-inicial,2,4,0,1,50.0
01-fase-alcance-inicial/EAI-002-actividades/requerimientos/RF-EDU-001-mecanicas-ejercicios.md,01-fase-alcance-inicial,5,6,0,4,20.0
01-fase-alcance-inicial/EAI-002-actividades/requerimientos/RF-EDU-003-taxonomia-bloom.md,01-fase-alcance-inicial,16,19,1,12,25.0
01-fase-alcance-inicial/EAI-002-actividades/historias-usuario/US-ACT-006-mecanica-asociacion.md,01-fase-alcance-inicial,0,8,1,0,0.0
01-fase-alcance-inicial/EAI-002-actividades/historias-usuario/US-ACT-001-mecanica-opcion-multiple.md,01-fase-alcance-inicial,0,15,3,0,0.0
01-fase-alcance-inicial/EAI-002-actividades/historias-usuario/US-ACT-003-mecanica-completar-texto.md,01-fase-alcance-inicial,0,6,1,0,0.0
01-fase-alcance-inicial/EAI-002-actividades/historias-usuario/US-ACT-008-navegacion-actividades.md,01-fase-alcance-inicial,0,12,0,0,0.0
01-fase-alcance-inicial/EAI-002-actividades/historias-usuario/US-ACT-004-mecanica-drag-drop.md,01-fase-alcance-inicial,0,6,1,0,0.0
