Schema,Tabla,Frecuencia,Num Documentos
lti_integration,lti_platforms,1,1
lti_integration,lti_contexts,1,1
lti_integration,lti_launches,1,1
ExerciseService,completeAttempt,1,1
ltiService,getLTIContext,1,1
exerciseService,getAttempt,1,1
this,logGradePassback,1,1
this,getAccessToken,1,1
axios,post,1,1
ltiService,findPlatformByIssuer,1,1
searchParams,set,1,1
authUrl,toString,1,1
cryptoService,generateSecureToken,1,1
auth_management,parent_accounts,1,1
notifications,parent_notifications,1,1
notifications,filter,1,1
socket,disconnect,1,1
notificationTypes,forEach,1,1
type,startsWith,1,1
type,split,1,1
console,log,1,1
notifications,create,1,1
pubClient,duplicate,1,1
socket,join,1,1
priorityQueue,add,1,1
io,on,1,1
notifications,findMany,1,1
io,to,1,1
this,checkDuplicate,1,1
NotificationService,getUnread,1,1
io,adapter,1,1
socket,emit,1,1
io,use,1,1
preferencesService,updatePreferences,1,1
preferencesService,getPreferences,1,1
z,object,1,1
subscription,unsubscribe,1,1
preferencesService,resetToDefaults,1,1
z,boolean,1,1
z,enum,1,1
airflow,operators,1,1
transform,py,1,1
api,py,1,1
risk_predictor,py,1,1
predictor,py,1,1
explainability,py,1,1
extract,py,1,1
recommendation_engine,py,1,1
completion_projector,py,1,1
score_forecaster,py,1,1
load,py,1,1
Mammoth,js,1,1
PDF,js,1,1
social_features,peer_challenges,1,1
social_features,challenge_attempts,1,1
ProgressChart,tsx,1,1
TeacherNotes,tsx,1,1
GradingInterface,tsx,1,1
ClassroomList,tsx,1,1
social_features,classroom_enrollments,1,1
educational_content,assignment_submissions,1,1
educational_content,assignments,1,1
ReportGenerator,tsx,1,1
GradingQueue,tsx,1,1
AssignmentCreator,tsx,1,1
progress_tracking,teacher_notes,1,1
ClassroomDetail,tsx,1,1
EngagementMetrics,tsx,1,1
StudentEnrollment,tsx,1,1
ClassroomAnalytics,tsx,1,1
assignments,teacher_id,1,1
public,assignment_students,1,1
assignment_exercises,exercise_id,1,1
public,assignment_exercises,1,1
assignment_submissions,student_id,1,1
assignment_students,student_id,1,1
assignment_classrooms,classroom_id,1,1
assignment_submissions,graded_by,1,1
public,teacher_notes,1,1
public,assignment_classrooms,1,1
public,assignments,1,1
public,assignment_submissions,1,1
now,getTime,1,1
submittedAt,getTime,1,1
system_configuration,tenant_branding,1,1
INSTALACION,md,1,1
TABLAS,md,1,1
SEED,md,1,1
HISTORICO,md,1,1
teacher_module,assignment_exercises,1,1
teacher_module,assignment_classrooms,1,1
teacher_module,assignments,1,1
teacher_module,classroom_students,1,1
teacher_module,assignment_students,1,1
teacher_module,classrooms,1,1
teacher_module,assignment_submissions,1,1
information_schema,triggers,1,1
information_schema,routines,1,1
information_schema,schemata,1,1
information_schema,tables,1,1
system_configuration,notification_settings,1,1
context,getClass,1,1
progress_tracking,learning_sessions,1,1
requiredRoles,some,1,1
guard,canActivate,1,1
allowedRoles,includes,1,1
redis,del,1,1
email,includes,1,1
metricsService,increment,1,1
authService,findOrCreateOAuthUser,1,1
res,redirect,1,1
authService,generateJWT,1,1
authService,createOAuthUser,1,1
fs,readFileSync,1,1
authService,findUserByProvider,1,1
response,json,1,1
client,getSigningKey,1,1
profileRepo,findOne,1,1
profileRepo,query,1,1
NEW,status,1,1
path,startsWith,1,1
exemptPaths,some,1,1
NEW,user_id,1,1
auth_management,on_email_verified,1,1
auth_management,blocked_emails,1,1
public,auth_provider,1,1
auth,validate_oauth_token,1,1
auth,get_available_providers,1,1
allowedRedirects,includes,1,1
profiles,status,1,1
allowedPaths,includes,1,1
auth_management,user_status,1,1
env,example,1,1
package,json,1,1
app,get,1,1
