obj_id,layer,module,type,name,path
OBJ-DB-AUTH-TRG-TRG-MEMBERSHIPS-UPDATED-AT,DB,AUTH,trigger,trg_memberships_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/triggers/02-trg_memberships_updated_at.sql
OBJ-DB-AUTH-TRG-TRG-AUDIT-PROFILE-CHANGES,DB,AUTH,trigger,trg_audit_profile_changes,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/triggers/03-trg_audit_profile_changes.sql
OBJ-DB-AUTH-TRG-TRG-INITIALIZE-USER-STATS,DB,AUTH,trigger,trg_initialize_user_stats,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/triggers/04-trg_initialize_user_stats.sql
OBJ-DB-AUTH-TRG-TRG-PROFILES-UPDATED-AT,DB,AUTH,trigger,trg_profiles_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/triggers/05-trg_profiles_updated_at.sql
OBJ-DB-AUTH-TRG-TRG-TENANTS-UPDATED-AT,DB,AUTH,trigger,trg_tenants_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/triggers/06-trg_tenants_updated_at.sql
OBJ-DB-AUTH-TRG-TRG-USER-ROLES-UPDATED-AT,DB,AUTH,trigger,trg_user_roles_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/triggers/07-trg_user_roles_updated_at.sql
OBJ-BE-AUTH-CTRL-AUTH-CONTROLLER,BE,AUTH,controller,auth.controller,auth/controllers/auth.controller.ts
OBJ-BE-AUTH-CTRL-PASSWORD-CONTROLLER,BE,AUTH,controller,password.controller,auth/controllers/password.controller.ts
OBJ-BE-AUTH-SVC-AUTH-SERVICE,BE,AUTH,service,auth.service,auth/services/auth.service.ts
OBJ-BE-AUTH-SVC-EMAIL-VERIFICATION-SERVICE,BE,AUTH,service,email-verification.service,auth/services/email-verification.service.ts
OBJ-BE-AUTH-SVC-PASSWORD-RECOVERY-SERVICE,BE,AUTH,service,password-recovery.service,auth/services/password-recovery.service.ts
OBJ-BE-AUTH-SVC-SECURITY-SERVICE,BE,AUTH,service,security.service,auth/services/security.service.ts
OBJ-BE-AUTH-SVC-SESSION-MANAGEMENT-SERVICE,BE,AUTH,service,session-management.service,auth/services/session-management.service.ts
OBJ-BE-AUTH-ENT-AUTH-ATTEMPT-ENTITY,BE,AUTH,entity,auth-attempt.entity,auth/entities/auth-attempt.entity.ts
OBJ-BE-AUTH-ENT-AUTH-PROVIDER-ENTITY,BE,AUTH,entity,auth-provider.entity,auth/entities/auth-provider.entity.ts
OBJ-BE-AUTH-ENT-EMAIL-VERIFICATION-TOKEN-ENTITY,BE,AUTH,entity,email-verification-token.entity,auth/entities/email-verification-token.entity.ts
OBJ-BE-AUTH-ENT-MEMBERSHIP-ENTITY,BE,AUTH,entity,membership.entity,auth/entities/membership.entity.ts
OBJ-BE-AUTH-ENT-PASSWORD-RESET-TOKEN-ENTITY,BE,AUTH,entity,password-reset-token.entity,auth/entities/password-reset-token.entity.ts
OBJ-BE-AUTH-ENT-PROFILE-ENTITY,BE,AUTH,entity,profile.entity,auth/entities/profile.entity.ts
OBJ-BE-AUTH-ENT-TENANT-ENTITY,BE,AUTH,entity,tenant.entity,auth/entities/tenant.entity.ts
OBJ-BE-AUTH-ENT-USER-ROLE-ENTITY,BE,AUTH,entity,user-role.entity,auth/entities/user-role.entity.ts
OBJ-BE-AUTH-ENT-USER-SESSION-ENTITY,BE,AUTH,entity,user-session.entity,auth/entities/user-session.entity.ts
OBJ-BE-AUTH-ENT-USER-ENTITY,BE,AUTH,entity,user.entity,auth/entities/user.entity.ts
OBJ-DB-GAM-ENUM-MAYA-RANK,DB,GAM,enum,maya_rank,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/enums/maya_rank.sql
OBJ-DB-GAM-ENUM-TRANSACTION-TYPE,DB,GAM,enum,transaction_type,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/enums/transaction_type.sql
OBJ-DB-GAM-FN-UPDATE-MISSIONS-UPDATED-AT,DB,GAM,function,update_missions_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/06-update_missions_updated_at.sql
OBJ-DB-GAM-FN-UPDATE-NOTIFICATIONS-UPDATED-AT,DB,GAM,function,update_notifications_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/07-update_notifications_updated_at.sql
OBJ-DB-GAM-FN-RECALCULATE-LEVEL-ON-XP-CHANGE,DB,GAM,function,recalculate_level_on_xp_change,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/08-recalculate_level_on_xp_change.sql
OBJ-DB-GAM-FN-APPLY-XP-BOOST,DB,GAM,function,apply_xp_boost,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/apply_xp_boost.sql
